System ID,DOI,Latest Version,PMCID,PMID,Pub Year,Publication Date,Publication Types,Source,Peer_Review,Title,Cleaned_Abs,Lenght_Abs,Condition,Total Citations,Journal Name,Visualization Categories,influence_score,popularity_alt_score,popularity_score,influence_alt_score,tweets_count,Data_origin,Task_(primary),Modality
10.1101/2020.05.01.20088211,10.1101/2020.05.01.20088211,Yes,,,2020,2020-06-18,Preprint,medRxiv,0,classification of covid-19 from chest x-ray images using deep convolutional neural networks,"The COVID-19 pandemic continues to have a devastating effect on the health and well-being of the global population. A vital step in the combat towards COVID-19 is a successful screening of contaminated patients, with one of the key screening approaches being radiological imaging using chest radiography. This study aimed to automatically detect COVID‐ 19 pneumonia patients using digital chest x‐ ray images while maximizing the accuracy in detection using deep convolutional neural networks (DCNN). The dataset consists of 864 COVID‐ 19, 1345 viral pneumonia and 1341 normal chest x‐ ray images. In this study, DCNN based model Inception V3 with transfer learning have been proposed for the detection of coronavirus pneumonia infected patients using chest X-ray radiographs and gives a classification accuracy of more than 98% (training accuracy of 97% and validation accuracy of 93%). The results demonstrate that transfer learning proved to be effective, showed robust performance and easily deployable approach for COVID-19 detection.",155,"COVID-19;COVID-19 Pandemic;Pneumonia;Pneumonia, Viral",,,Transfer Learning;Other Topics,,,,,,External,2. Detection/Diagnosis,Multimodal
10.1101/2020.05.04.20090779,10.1101/2020.05.04.20090779,Yes,,,2020,2020-05-08,Preprint,medRxiv,0,mantiscovid: rapid x-ray chest radiograph and mortality rate evaluation with artificial intelligence for covid-19,"The novel coronavirus pandemic has negative impacts over the health, economy and well-being of the global population. This negative effect is growing with the high spreading rate of the virus. The most critical step to prevent the spreading of the virus is pre-screening and early diagnosis of the individuals. This results in quaranteeing the patients not to effect the healthy population. COVID-19 is the name of the disease caused by the novel coronavirus. It has a high infection rate and it is urgent to diagnose many patients as we can to prevent the spread of the virus at the early stage. Rapid diagnostic tools development is urgent to save lives. MantisCOVID is a cloud-based pre-diagnosis tool to be accessed from the internet. This tool delivers a rapid screening test by analyzing the X-ray Chest Radiograph scans via Artificial Intelligence (AI) and it also evaluates the mortality rate of patients with the synthesis of the patient’s history with the machine learning methods. This study reveals the methods used over the platform and evaluation of the algorithms via open datasets.",178,COVID-19;Infections,,,Coronavirus Infections;Diagnostic Tests;COVID-19 Testing,,,,,,External,2. Detection/Diagnosis,X-Ray
10.1101/2020.05.05.20091561,10.1101/2020.05.05.20091561,Yes,,,2020,2020-05-08,Preprint,medRxiv,0,ai based chest x-ray (cxr) scan texture analysis algorithm for digital test of covid-19 patients,"Chest Imaging in COVID-19 patient management is becoming an essential tool for controlling the pandemic that is gripping the international community. It is already indicated in patients with COVID-19 and worsening respiratory status. The rapid spread of the pandemic to all continents, albeit with a nonuniform community transmission, necessitates chest imaging for medical triage of patients presenting moderate-severe clinical COVID-19 features. This paper reports the development of innovative machine learning schemes for the analysis of Chest X-Ray (CXR) scan images of COVID-19 patients in almost real-time, demonstrating significantly high accuracy in identifying COVID-19 infection. The performance testing was conducted on a combined dataset comprising CXRs of positive COVID-19 patients, patients with various viral and bacterial infections, as well as persons with a clear chest. The test resulted in successfully distinguishing CXR COVID-19 infection from the other cases with an average accuracy of 94.43%, sensitivity 95% and specificity 93.86%.The development of efficient automatic AI texture analysis schemes for classification of chest X-Ray of COVID-19 patients with highest accuracy with equally low false negative and positive rates. Decisions would be supported by visual evidence viewable by clinician and help speed up the initial assessment process of new suspected cases, especially in a resource-constrained environment.",202,Bacterial Infections;COVID-19;Infections,,,Health Care;Sensitivity and Specificity,,,,,,External,2. Detection/Diagnosis,X-Ray
10.1101/2020.05.06.20092874,10.1101/2020.05.06.20092874,Yes,,,2020,2020-05-08,Preprint,medRxiv,0,prognet: covid-19 prognosis using recurrent and convolutional neural networks,", Humanity is facing nowadays a dramatic pandemic episode with the Coronavirus propagation over all continents. The Covid-19 disease is still not well characterized, and many research teams all over the world are working on either therapeutic or vaccination issues. Massive testing is one of the main recommendations. In addition to laboratory tests, imagery-based tools are being widely investigated. Artificial intelligence is therefore contributing to the efforts made to face this pandemic phase. Regarding patients in hospitals, it is important to monitor the evolution of lung pathologies due to the virus. A prognosis is therefore of great interest for doctors to adapt their care strategy. In this paper, we propose a method for Covid-19 prognosis based on deep learning architectures. The proposed method is based on the combination of a convolutional and recurrent neural networks to classify multi-temporal chest X-ray images and predict the evolution of the observed lung pathology. When applied to radiological time-series, promising results are obtained with an accuracy rates higher than 92%.",166,COVID-19,,,Other Topics,,,,,,External,4. Prognosis/Treatment,X-Ray
10.1101/2020.05.10.20097063,10.1101/2020.05.10.20097063,Yes,,,2020,2020-05-14,Preprint,medRxiv,0,automatic detection of covid-19 infection from chest x-ray using deep learning,"COVID-19 infection has created a panic across the globe in recent times. Early detection of COVID-19 infection can save many lives in the prevailing situation. This virus affects the respiratory system of a person and creates white patchy shadows in the lungs. Deep learning is one of the most effective Artificial Intelligence techniques to analyse chest X-ray images for efficient and reliable COVID-19 screening. In this paper, we have proposed a Deep Convolutional Neural Network method for fast and dependable identification of COVID-19 infection cases from the patient chest X-ray images. To validate the performance of the proposed system, chest X-ray images of more than 150 confirmed COVID-19 patients from the Kaggle data repository are used in the experimentation. The results show that the proposed system identifies the cases with an accuracy of 93%.",134,COVID-19;Infections,,,Other Topics,,,,,,External,2. Detection/Diagnosis,X-Ray
10.1101/2020.05.11.20097907,10.1101/2020.05.11.20097907,Yes,,,2020,2020-05-29,Preprint,medRxiv,0,online covid-19 diagnosis with chest ct images: lesion-attention deep neural networks,"Chest computed tomography (CT) scanning is one of the most important technologies for COVID-19 diagnosis and disease monitoring, particularly for early detection of coronavirus. Recent advancements in computer vision motivate more concerted efforts in developing AI-driven diagnostic tools to accommodate the enormous demands for the COVID-19 diagnostic tests globally. To help alleviate burdens on medical systems, we develop a lesion-attention deep neural network (LA-DNN) to predict COVID-19 positive or negative with a richly annotated chest CT image dataset. Based on the textual radiological report accompanied with each CT image, we extract two types of important information for the annotations: One is the indicator of a positive or negative case of COVID-19, and the other is the description of five lesions on the CT images associated with the positive cases. The proposed data-efficient LA-DNN model focuses on the primary task of binary classification for COVID-19 diagnosis, while an auxiliary multi-label learning task is implemented simultaneously to draw the model’s attention to the five lesions associated with COVID-19. The joint task learning process makes it a highly sample-efficient deep neural network that can learn COVID-19 radiology features more effectively with limited but high-quality, rich-information samples. The experimental results show that the AUC and sensitivity (recall), precision, and accuracy for COVID-19 diagnosis are 94.0%, 88.8%, 87.9%, and 88.6% respectively, which reach the clinical standards for practical use. A free online system is currently alive for fast diagnosis using CT images at the website /, and all codes and datasets are freely accessible at our github address.",253,COVID-19,,,Diagnostic Tests;COVID-19 Testing,,,,,,Self-recorded/clinical,2. Detection/Diagnosis,CT
10.1101/2020.05.12.20098954,10.1101/2020.05.12.20098954,Yes,,,2020,2020-05-19,Preprint,medRxiv,0,covid-19 detection using cnn transfer learning from x-ray images,"The Covid-19 first occurs in Wuhan, China in December 2019. After that the virus spread all around the world and at the time of writing this paper the total number of confirmed cases are above 4.7 million with over 315000 deaths. Machine learning algorithms built on radiography images can be used as decision support mechanism to aid radiologists to speed up the diagnostic process. The aim of this work is twofold. First, a quantitative analysis to evaluate 12 off-the-shelf convolutional neural networks (CNNs) for the purpose of COVID-19 X-ray image analysis. Specifically, CNN transfer learning procedure was adopted due to the small number of images available for investigation. We also proposed a simple CNN architecture with a small number of parameters that perform well on distinguishing COVID-19 from normal X-rays. Secondly, a qualitative investigation performed to inspect the decisions made by CNNs using a technique known as class activation maps (CAM). Using CAMs, one can map the activations contributed most to the decision of CNNs back to the original image to visualize the most discriminating regions on the input image. Chest X-ray images used in this work are coming from 3 publicly available sources. Two COVID-19 X-ray image datasets and a large dataset of other non-COVID-19 viral infections, bacterial infections and normal X-rays utilised. We conclude that CNN decisions should not be taken into consideration, despite their high classification accuracy, until clinicians can visually inspect the regions of the input image used by CNNs that lead to its prediction.",249,Bacterial Infections;COVID-19;Death;Virus Diseases,,,Algorithms;Transfer Learning;Architecture;Map,,,,,,External,Segmentation-only,X-Ray
10.1101/2020.05.12.20099937,10.1101/2020.05.12.20099937,Yes,,,2020,2020-05-14,Preprint,medRxiv,0,deep transfer learning-based covid-19 prediction using chest x-rays,"The novel coronavirus disease (COVID-19) is spreading very rapidly across the globe because of its highly contagious nature, and is declared as a pandemic by world health organization (WHO). Scientists are endeavoring to ascertain the drugs for its efficacious treatment. Because, till now, no full-proof drug is available to cure this deadly disease. Therefore, identifying COVID-19 positive people and to quarantine them, can be an effective solution to control its spread. Many machine learning and deep learning techniques are being used quite effectively to classify positive and negative cases. In this work, a deep transfer learning-based model is proposed to classify the COVID-19 cases using chest X-rays or CT scan images of infected persons. The proposed model is based on the ensembling of DenseNet121 and SqueezeNet1.0, which is named as DeQueezeNet. The model can extract the importance of various influential features from the X-ray images, which are effectively used to classify the COVID-19 cases. The performance study of the proposed model depicts its effectiveness in terms of accuracy and precision. A comparative study has also been done with the recently published works and it is observed the performance of the proposed model is significantly better.",195,COVID-19,,,World Health Organization;Transfer Learning;Other Topics;Pharmaceutical Preparations,,,,,,External,2. Detection/Diagnosis,X-Ray
10.1101/2020.05.14.20101972,10.1101/2020.05.14.20101972,Yes,,,2020,2020-10-06,Preprint,medRxiv,0,integration of clinical characteristics lab tests and a deep learning ct scan analysis to predict severity of hospitalized covid-19 patients,"The SARS-COV-2 pandemic has put pressure on Intensive Care Units, so that identifying predictors of disease severity is a priority. We collected 58 clinical and biological variables, chest CT scan data (506,341 images), and radiology reports from 1,003 coronavirus-infected patients from two French hospitals. We trained a deep learning model based on CT scans to predict severity; this model was more discriminative than a radiologist quantification of disease extent. We showed that neural network analysis of CT-scan brings unique prognosis information, although it is correlated with other markers of severity (oxygenation, LDH, and CRP). To provide a multimodal severity score, we developed AI-severity that includes 5 clinical and biological variables (age, sex, oxygenation, urea, platelet) as well as the CT deep learning model. When comparing AI-severity with 11 existing scores for severity, we find significantly improved prognosis performance; AI-severity can therefore rapidly become a reference scoring approach.",147,COVID-19,,,Other Topics,,,,,,Self-recorded/clinical,3. Monitoring/Severity assessment,CT
10.1101/2020.05.24.20111922,10.1101/2020.05.24.20111922,Yes,,,2020,2020-05-25,Preprint,medRxiv,0,aidcov: an interpretable artificial intelligence model for detection of covid-19 from chest radiography images,"As the Coronavirus Disease 2019 (COVID-19) pandemic continues to grow globally, testing to detect COVID-19 and isolating individuals who test positive remains to be the primary strategy for preventing community spread of the disease. The current gold standard method of testing for COVID-19 is the reverse transcription polymerase chain reaction (RT-PCR) test. The RT-PCR test, however, has an imperfect sensitivity (around 70%), is time-consuming and labor-intensive, and is in short supply, particularly in resource-limited countries. Therefore, automatic and accurate detection of COVID-19 using medical imaging modalities such as chest X-ray and Computed Tomography, which are more widely available and accessible, can be beneficial. We develop a novel hierarchical attention neural network model to classify chest radiography images as belonging to a person with either COVID-19, other infections, or no pneumonia (i.e., normal). We refer to this model as Artificial Intelligence for Detection of COVID-19 (AIDCOV). The hierarchical structure in AIDCOV captures the dependency of features and improves model performance while the attention mechanism makes the model interpretable and transparent. Using a publicly available dataset of 5801 chest images, we demonstrate that our model achieves a mean cross-validation accuracy of 97.8%. AIDCOV has a sensitivity of 99.3%, a specificity of 99.98%, and a positive predictive value of 99.6% in detecting COVID-19 from chest radiography images. AIDCOV can be used in conjunction with or instead of RT-PCR testing (where RT-PCR testing is unavailable) to detect and isolate individuals with COVID-19 and prevent onward transmission to the general population and healthcare workers.",249,COVID-19;COVID-19 Pandemic;Infections;Pneumonia,,,Predictive Value;Sensitivity and Specificity;Polymerase Chain Reaction;Neural Networks;Reverse Transcription,,,,,,External,2. Detection/Diagnosis,X-Ray
10.1101/2020.05.25.20113084,10.1101/2020.05.25.20113084,Yes,,,2020,2020-05-27,Preprint,medRxiv,0,a chest radiography-based artificial intelligence deep-learning model to predict severe covid-19 patient outcomes: the cape (covid-19 ai predictive engine) model,"Chest radiography may be used together with deep-learning models to prognosticate COVID-19 patient outcomesT o evaluate the performance of a deep-learning model for the prediction of severe patient outcomes from COVID-19 pneumonia on chest radiographs.A deep-learning model (CAPE: Covid-19 AI Predictive Engine) was trained on 2337 CXR images including 2103 used only for validation while training. The prospective test set consisted of CXR images (n=70) obtained from RT-PCR confirmed COVID-19 pneumonia patients between 1 January and 30 April 2020 in a single center. The radiographs were analyzed by the AI model. Model performance was obtained by receiver operating characteristic curve analysis.In the prospective test set, the mean age of the patients was 46 years (84.2% male). The deep-learning model accurately predicted outcomes of ICU admission/mortality from COVID-19 pneumonia with an AUC of 0.79. Compared to traditional risk scoring systems for pneumonia based upon laboratory and clinical parameters, the model matched the EWS and MulBTSA risk scoring systems and outperformed CURB-65.A deep-learning model was able to predict severe patient outcomes (ICU admission and mortality) from COVID-19 on chest radiographs.A deep-learning model was able to predict severe patient outcomes (ICU admission and mortality) from COVID-19 from chest radiographs with an AUC of 0.79, which is comparable to traditional risk scoring systems for pneumonia.This is a chest radiography-based AI model to prognosticate the risk of severe COVID-19 pneumonia outcomes.",226,COVID-19;Pneumonia,,,Polymerase Chain Reaction;Area under Curve,,,,,,External,2. Detection/Diagnosis,X-Ray
